cd_curso,semestre,courseid,Users per course,Start Date,End Date,Course duration days,cuttoff_point
4281,S1,200012.0,15,2020-09-07,2021-01-15,131.0,2020-08-31
4281,S1,200032.0,10,2020-09-07,2021-01-15,131.0,2020-08-31
4281,S1,200071.0,3,2020-09-07,2021-01-15,131.0,2020-08-31
4281,S1,200101.0,65,2020-09-07,2021-01-15,131.0,2020-08-31
4281,S1,200159.0,65,2020-09-07,2021-01-15,131.0,2020-08-31
4281,S1,200160.0,64,2020-09-07,2021-01-15,131.0,2020-08-31
4281,S1,200165.0,11,2020-09-07,2021-01-15,131.0,2020-08-31
4281,S1,200185.0,40,2020-09-07,2021-01-15,131.0,2020-08-31
4281,S1,200186.0,25,2020-09-07,2021-01-15,131.0,2020-08-31
4281,S1,200187.0,41,2020-09-07,2021-01-15,131.0,2020-08-31
4281,S1,200189.0,43,2020-09-07,2021-01-15,131.0,2020-08-31
4281,S1,200196.0,29,2020-09-07,2021-01-15,131.0,2020-08-31
4281,S1,200201.0,6,2020-09-07,2021-01-15,131.0,2020-08-31
4281,S1,400082.0,21,2020-09-07,2021-01-15,131.0,2020-08-31
4281,S2,200013.0,3,2021-02-08,2021-06-18,131.0,2021-02-01
4281,S2,200014.0,3,2021-02-08,2021-06-18,131.0,2021-02-01
4281,S2,200049.0,35,2021-02-08,2021-06-18,131.0,2021-02-01
4281,S2,200069.0,52,2021-02-08,2021-06-18,131.0,2021-02-01
4281,S2,200090.0,32,2021-02-08,2021-06-18,131.0,2021-02-01
4281,S2,200097.0,67,2021-02-08,2021-06-18,131.0,2021-02-01
4281,S2,200135.0,2,2021-02-08,2021-06-18,131.0,2021-02-01
4281,S2,200146.0,2,2021-02-08,2021-06-18,131.0,2021-02-01
4281,S2,200161.0,66,2021-02-08,2021-06-18,131.0,2021-02-01
4281,S2,200166.0,3,2021-02-08,2021-06-18,131.0,2021-02-01
4281,S2,200167.0,7,2021-02-08,2021-06-18,131.0,2021-02-01
4281,S2,200170.0,14,2021-02-08,2021-06-18,131.0,2021-02-01
4281,S2,200184.0,28,2021-02-08,2021-06-18,131.0,2021-02-01
4281,S2,200188.0,35,2021-02-08,2021-06-18,131.0,2021-02-01
4281,S2,200190.0,35,2021-02-08,2021-06-18,131.0,2021-02-01
4281,S2,400023.0,8,2021-02-08,2021-06-18,131.0,2021-02-01
4281,S2,400081.0,4,2021-02-08,2021-06-18,131.0,2021-02-01
4281,T1,200073.0,8,2020-09-07,2020-10-30,54.0,2020-08-31
4281,T1,200088.0,33,2020-09-07,2020-10-30,54.0,2020-08-31
4281,T1,200192.0,6,2020-09-07,2020-10-30,54.0,2020-08-31
4281,T1,200193.0,5,2020-09-07,2020-10-30,54.0,2020-08-31
4281,T1,200204.0,12,2020-09-07,2020-10-30,54.0,2020-08-31
4281,T2,200070.0,2,2020-11-02,2021-01-22,82.0,2020-10-26
4281,T2,200191.0,17,2020-11-02,2021-01-22,82.0,2020-10-26
4281,T2,200195.0,2,2020-11-02,2021-01-22,82.0,2020-10-26
4281,T2,200197.0,21,2020-11-02,2021-01-22,82.0,2020-10-26
4281,T2,400020.0,2,2020-11-02,2021-01-22,82.0,2020-10-26
4281,T3,200068.0,2,2021-02-08,2021-04-09,61.0,2021-02-01
4281,T3,200198.0,7,2021-02-08,2021-04-09,61.0,2021-02-01
4281,T3,200210.0,3,2021-02-08,2021-04-09,61.0,2021-02-01
4281,T4,200194.0,7,2021-04-12,2021-06-11,61.0,2021-04-05
4281,T4,200205.0,6,2021-04-12,2021-06-11,61.0,2021-04-05
4951,S1,200012.0,1,2020-09-07,2021-01-15,131.0,2020-08-31
4951,S1,200032.0,2,2020-09-07,2021-01-15,131.0,2020-08-31
4951,S1,200071.0,1,2020-09-07,2021-01-15,131.0,2020-08-31
4951,S1,200165.0,2,2020-09-07,2021-01-15,131.0,2020-08-31
4951,S1,200185.0,7,2020-09-07,2021-01-15,131.0,2020-08-31
4951,S1,200186.0,6,2020-09-07,2021-01-15,131.0,2020-08-31
4951,S2,200013.0,1,2021-02-08,2021-06-18,131.0,2021-02-01
4951,S2,200014.0,2,2021-02-08,2021-06-18,131.0,2021-02-01
4951,S2,200090.0,8,2021-02-08,2021-06-18,131.0,2021-02-01
4951,S2,200146.0,1,2021-02-08,2021-06-18,131.0,2021-02-01
4951,S2,200162.0,2,2021-02-08,2021-06-18,131.0,2021-02-01
4951,S2,200166.0,2,2021-02-08,2021-06-18,131.0,2021-02-01
4951,S2,200167.0,3,2021-02-08,2021-06-18,131.0,2021-02-01
4951,S2,200184.0,6,2021-02-08,2021-06-18,131.0,2021-02-01
4951,S2,400023.0,2,2021-02-08,2021-06-18,131.0,2021-02-01
4951,T1,200073.0,1,2020-09-07,2020-10-30,54.0,2020-08-31
4951,T1,200088.0,6,2020-09-07,2020-10-30,54.0,2020-08-31
4951,T1,200204.0,1,2020-09-07,2020-10-30,54.0,2020-08-31
4951,T2,200191.0,4,2020-11-02,2021-01-22,82.0,2020-10-26
4951,T3,200068.0,2,2021-02-08,2021-04-09,61.0,2021-02-01
4951,T3,200198.0,2,2021-02-08,2021-04-09,61.0,2021-02-01
4951,T4,200205.0,2,2021-04-12,2021-06-11,61.0,2021-04-05
4951,T4,200217.0,1,2021-04-12,2021-06-11,61.0,2021-04-05
4952,S1,200012.0,2,2020-09-07,2021-01-15,131.0,2020-08-31
4952,S1,200071.0,1,2020-09-07,2021-01-15,131.0,2020-08-31
4952,S1,200101.0,10,2020-09-07,2021-01-15,131.0,2020-08-31
4952,S1,200159.0,10,2020-09-07,2021-01-15,131.0,2020-08-31
4952,S1,200160.0,11,2020-09-07,2021-01-15,131.0,2020-08-31
4952,S1,200185.0,1,2020-09-07,2021-01-15,131.0,2020-08-31
4952,S1,200187.0,1,2020-09-07,2021-01-15,131.0,2020-08-31
4952,S1,200196.0,2,2020-09-07,2021-01-15,131.0,2020-08-31
4952,S1,400082.0,1,2020-09-07,2021-01-15,131.0,2020-08-31
4952,S2,200049.0,2,2021-02-08,2021-06-18,131.0,2021-02-01
