course_encoding,userid,exam_fail,final_fail,exam_gifted,final_gifted
0,417,0,0,0,0
0,1042,0,0,0,0
0,1100,0,0,0,0
0,2674,0,0,0,0
0,3802,0,0,0,0
0,3920,1,1,0,0
0,4019,0,0,0,0
0,4103,0,0,0,0
0,4402,1,1,0,0
0,4459,0,0,0,0
0,4551,0,0,0,0
0,4553,0,0,0,0
0,4571,0,0,0,0
0,4707,1,1,0,0
0,5766,0,0,0,0
0,5780,0,0,1,1
0,5786,0,0,0,0
0,5806,0,0,0,0
0,5815,0,0,0,0
0,5824,0,0,0,0
0,5825,0,0,0,0
0,5851,0,0,0,0
0,5857,0,0,0,0
0,5861,0,0,0,0
0,5862,0,0,0,0
0,5876,0,0,0,0
0,5886,0,0,0,0
0,5907,0,0,0,0
0,5935,0,0,0,0
0,5940,0,0,1,1
0,5945,0,0,0,0
0,5976,0,0,0,0
0,6008,0,0,0,0
0,6009,0,0,1,1
0,6168,0,0,0,0
0,6169,0,0,0,0
0,6170,0,0,0,0
0,6171,0,0,0,0
0,6173,0,0,0,0
0,6176,0,0,0,0
0,6190,0,0,0,0
0,6296,1,1,0,0
0,6297,0,0,1,1
0,6298,0,0,0,0
0,6299,0,0,0,0
0,6300,0,0,0,0
0,6301,0,0,0,0
0,6302,1,1,0,0
0,6303,0,0,0,0
0,6304,0,0,1,1
0,6306,0,0,0,0
0,6307,0,0,0,0
0,6308,0,0,1,1
0,6309,0,0,0,0
0,6310,0,0,0,0
0,6311,0,0,1,1
0,6312,0,0,0,0
0,6579,0,0,0,0
0,6590,0,0,0,0
0,6591,1,1,0,0
0,6592,0,0,1,1
0,6593,0,0,1,1
0,6594,1,1,0,0
0,6598,0,0,1,1
0,6620,0,0,0,0
1,417,1,0,0,0
1,1100,0,0,0,0
1,2674,1,1,0,0
1,2986,0,0,0,0
1,3802,1,0,0,0
1,3920,0,0,1,1
1,4103,1,1,0,0
1,4402,1,1,0,0
1,4459,0,0,0,0
1,4551,0,0,0,0
1,4553,1,1,0,0
1,4571,1,1,0,0
1,4707,1,1,0,0
1,5766,0,0,1,1
1,5776,1,0,0,0
1,5780,0,0,1,1
1,5786,0,0,0,0
1,5806,0,0,1,1
1,5815,0,0,0,0
1,5824,1,0,0,0
1,5825,1,0,0,0
1,5851,1,0,0,0
1,5857,1,1,0,0
1,5861,0,0,0,0
1,5862,0,0,0,1
1,5876,1,0,0,0
1,5886,0,0,0,1
1,5907,0,0,1,1
1,5931,0,0,0,0
1,5935,0,0,0,0
1,5940,1,1,0,0
1,5945,1,1,0,0
1,5976,0,0,0,0
1,6008,1,1,0,0
1,6009,1,0,0,1
1,6162,1,1,0,0
1,6168,0,0,0,0
1,6169,0,0,1,1
1,6170,0,0,0,0
1,6171,0,0,0,0
1,6190,0,0,0,0
1,6295,1,1,0,0
1,6296,0,0,0,0
1,6297,1,1,0,0
1,6298,0,0,0,0
1,6299,0,0,1,1
1,6301,0,0,1,1
1,6302,1,0,0,0
1,6303,0,0,1,1
1,6304,1,1,0,0
1,6306,0,0,1,1
1,6307,1,0,0,0
1,6308,1,0,0,0
1,6309,1,0,0,0
1,6310,0,0,0,0
1,6311,0,0,0,0
1,6312,1,0,0,1
1,6579,0,0,0,1
1,6590,1,1,0,0
1,6591,1,1,0,0
1,6592,0,0,1,1
1,6593,0,0,1,1
1,6594,1,1,0,0
1,6598,1,1,0,0
1,6620,0,0,0,0
2,417,1,1,0,0
2,1100,0,0,0,0
2,2674,1,1,0,0
2,3926,1,1,0,0
2,4019,1,1,0,0
2,4025,1,1,0,0
2,4032,1,1,0,0
2,4144,1,1,0,0
2,4402,1,1,0,0
2,4403,1,1,0,0
2,4418,1,1,0,0
2,4420,1,1,0,0
2,4551,1,0,0,0
2,5716,1,1,0,0
2,5766,0,0,0,0
2,5780,1,0,0,0
2,5786,1,0,0,0
2,5806,0,0,0,0
2,5815,0,0,0,0
2,5824,1,1,0,0
2,5825,1,0,0,0
2,5851,1,1,0,0
2,5857,1,1,0,0
2,5861,1,1,0,0
2,5862,1,1,0,0
2,5876,1,1,0,0
2,5886,1,1,0,0
2,5907,0,0,1,0
2,5935,1,0,0,1
2,5940,1,1,0,0
2,5945,0,0,0,0
2,5976,1,1,0,0
2,6008,1,1,0,0
2,6009,1,1,0,0
2,6168,1,1,0,0
2,6169,1,0,0,1
2,6170,1,1,0,0
2,6171,1,0,0,0
2,6176,1,1,0,0
2,6190,1,1,0,0
2,6295,1,1,0,0
2,6296,1,1,0,0
2,6297,1,1,0,0
2,6298,1,0,0,0
2,6299,0,0,0,0
2,6301,0,0,1,1
2,6302,1,1,0,0
2,6303,1,1,0,0
2,6304,1,1,0,0
2,6306,1,0,0,0
2,6307,1,1,0,0
2,6308,1,1,0,0
2,6309,1,1,0,0
2,6310,1,0,0,0
2,6311,0,0,1,1
2,6312,1,1,0,0
2,6579,1,1,0,0
2,6590,1,1,0,0
2,6591,1,0,0,0
2,6592,1,1,0,0
2,6593,1,0,0,0
2,6594,1,1,0,0
2,6598,1,1,0,0
2,6620,1,1,0,0
3,4003,0,0,0,0
3,4432,0,0,0,0
3,5716,1,1,0,0
3,5776,0,0,0,0
3,5829,0,0,0,0
3,5858,0,0,0,0
3,5861,0,0,1,1
3,5862,0,0,1,1
3,5872,0,0,1,1
3,5876,0,0,1,1
3,5885,0,0,0,0
3,5927,1,1,0,0
3,5931,0,0,1,1
3,5967,1,1,0,0
3,5986,1,1,0,0
3,5995,0,0,0,0
3,6162,1,1,0,0
3,6164,0,0,1,1
3,6165,1,1,0,0
3,6166,0,0,0,0
3,6168,0,0,0,0
3,6169,0,0,1,1
3,6170,0,0,0,0
3,6171,0,0,0,0
3,6172,1,1,0,0
3,6173,0,0,1,1
3,6175,0,0,0,0
3,6176,0,0,0,0
3,6296,0,0,0,0
3,6584,0,0,0,0
3,6585,0,0,0,0
3,6592,0,0,0,0
3,6593,0,0,0,0
3,6613,0,0,1,1
3,6620,0,0,0,0
3,6625,0,0,0,0
3,6651,1,1,0,0
3,6652,0,0,0,0
3,6759,0,0,0,0
3,6971,1,1,0,0
4,4004,0,0,0,0
4,4405,0,0,0,0
4,5766,0,0,1,1
4,5776,0,0,0,0
4,5829,0,0,1,1
4,5858,0,0,0,0
4,5872,0,0,0,0
4,5885,0,0,1,1
4,5931,0,0,0,0
4,5986,0,0,0,0
4,5995,0,0,1,0
4,6164,0,0,0,0
4,6165,0,0,1,1
4,6166,0,0,1,0
4,6173,1,0,0,1
4,6175,0,0,0,0
4,6176,0,0,0,0
4,6190,0,0,0,0
4,6584,0,0,1,1
4,6585,0,0,1,1
