,cd_curso,nm_curso_pt,courseid,ds_discip_pt,semestre,userid,final_mark,exam_mark
0,8259,Licenciatura em Sistemas e Tecnologias de Informação,100001,Álgebra Linear,S1,1544,4.0,4.0
1,8259,Licenciatura em Sistemas e Tecnologias de Informação,100001,Álgebra Linear,S1,1556,6.0,9.0
2,9155,Licenciatura em Gestão de Informação,100001,Álgebra Linear,S1,1564,10.0,9.0
3,8259,Licenciatura em Sistemas e Tecnologias de Informação,100001,Álgebra Linear,S1,3146,15.0,15.0
4,9155,Licenciatura em Gestão de Informação,100001,Álgebra Linear,S1,3178,11.0,9.0
5,9155,Licenciatura em Gestão de Informação,100001,Álgebra Linear,S1,3248,15.0,7.0
6,8259,Licenciatura em Sistemas e Tecnologias de Informação,100001,Álgebra Linear,S1,3249,14.0,9.0
7,9155,Licenciatura em Gestão de Informação,100001,Álgebra Linear,S1,3314,12.0,12.0
8,8259,Licenciatura em Sistemas e Tecnologias de Informação,100001,Álgebra Linear,S1,4625,11.0,6.0
9,8259,Licenciatura em Sistemas e Tecnologias de Informação,100001,Álgebra Linear,S1,4630,14.0,14.0
10,8259,Licenciatura em Sistemas e Tecnologias de Informação,100001,Álgebra Linear,S1,4636,7.0,7.0
11,8259,Licenciatura em Sistemas e Tecnologias de Informação,100001,Álgebra Linear,S1,4639,15.0,15.0
12,8259,Licenciatura em Sistemas e Tecnologias de Informação,100001,Álgebra Linear,S1,4644,8.0,8.0
13,9155,Licenciatura em Gestão de Informação,100001,Álgebra Linear,S1,4654,10.0,10.0
14,9155,Licenciatura em Gestão de Informação,100001,Álgebra Linear,S1,4659,5.0,5.0
15,9155,Licenciatura em Gestão de Informação,100001,Álgebra Linear,S1,4664,12.0,12.0
16,9155,Licenciatura em Gestão de Informação,100001,Álgebra Linear,S1,4679,6.0,6.0
17,9155,Licenciatura em Gestão de Informação,100001,Álgebra Linear,S1,4713,10.0,10.0
18,8259,Licenciatura em Sistemas e Tecnologias de Informação,100001,Álgebra Linear,S1,4716,10.0,8.0
19,9155,Licenciatura em Gestão de Informação,100001,Álgebra Linear,S1,4717,12.0,12.0
20,8259,Licenciatura em Sistemas e Tecnologias de Informação,100001,Álgebra Linear,S1,4720,11.0,9.0
21,9155,Licenciatura em Gestão de Informação,100001,Álgebra Linear,S1,4721,8.0,8.0
22,9155,Licenciatura em Gestão de Informação,100001,Álgebra Linear,S1,4747,16.0,16.0
