,cd_curso,semestre,courseid,Users per course,Start Date,End Date,Course duration days,Week before start,course_encoding,Date_threshold_10,Date_threshold_25,Date_threshold_33,Date_threshold_50,Date_threshold_100
0,4281.0,S1,200101.0,65,2020-09-07,2021-01-22,138.0,2020-08-31,0,2020-09-25,2020-10-16,2020-10-23,2020-11-20,2021-01-29
1,4281.0,S1,200159.0,65,2020-09-07,2021-01-22,138.0,2020-08-31,1,2020-09-25,2020-10-16,2020-10-23,2020-11-20,2021-01-29
2,4281.0,S1,200160.0,64,2020-09-07,2021-01-22,138.0,2020-08-31,2,2020-09-25,2020-10-16,2020-10-23,2020-11-20,2021-01-29
3,4281.0,S1,200185.0,40,2020-09-07,2021-01-22,138.0,2020-08-31,3,2020-09-25,2020-10-16,2020-10-23,2020-11-20,2021-01-29
4,4281.0,S1,200186.0,25,2020-09-07,2021-01-22,138.0,2020-08-31,4,2020-09-25,2020-10-16,2020-10-23,2020-11-20,2021-01-29
5,4281.0,S1,200187.0,41,2020-09-07,2021-01-22,138.0,2020-08-31,5,2020-09-25,2020-10-16,2020-10-23,2020-11-20,2021-01-29
6,4281.0,S1,200189.0,43,2020-09-07,2021-01-22,138.0,2020-08-31,6,2020-09-25,2020-10-16,2020-10-23,2020-11-20,2021-01-29
7,4281.0,S1,200196.0,29,2020-09-07,2021-01-22,138.0,2020-08-31,7,2020-09-25,2020-10-16,2020-10-23,2020-11-20,2021-01-29
8,4281.0,S2,200049.0,35,2021-02-08,2021-06-25,138.0,2021-02-01,8,2021-02-26,2021-03-19,2021-03-26,2021-04-23,2021-07-02
9,4281.0,S2,200069.0,52,2021-02-08,2021-06-25,138.0,2021-02-01,9,2021-02-26,2021-03-19,2021-03-26,2021-04-23,2021-07-02
10,4281.0,S2,200090.0,32,2021-02-08,2021-06-25,138.0,2021-02-01,10,2021-02-26,2021-03-19,2021-03-26,2021-04-23,2021-07-02
11,4281.0,S2,200097.0,67,2021-02-08,2021-06-25,138.0,2021-02-01,11,2021-02-26,2021-03-19,2021-03-26,2021-04-23,2021-07-02
12,4281.0,S2,200161.0,66,2021-02-08,2021-06-25,138.0,2021-02-01,12,2021-02-26,2021-03-19,2021-03-26,2021-04-23,2021-07-02
13,4281.0,S2,200184.0,28,2021-02-08,2021-06-25,138.0,2021-02-01,13,2021-02-26,2021-03-19,2021-03-26,2021-04-23,2021-07-02
14,4281.0,S2,200188.0,35,2021-02-08,2021-06-25,138.0,2021-02-01,14,2021-02-26,2021-03-19,2021-03-26,2021-04-23,2021-07-02
