,course,Users per course,Start Date,End Date,Course duration days,cuttoff_point
0,1000.0,12.0,2014-08-25,2015-01-23,152.0,2014-08-18
1,1002.0,22.0,2014-09-22,2015-03-06,166.0,2014-09-15
2,1010.0,48.0,2014-09-08,2014-12-26,110.0,2014-09-01
3,1013.0,71.0,2014-09-22,2015-02-06,138.0,2014-09-15
4,1020.0,64.0,2015-01-05,2015-06-05,152.0,2014-12-29
5,1024.0,78.0,2015-01-19,2015-07-03,166.0,2015-01-12
6,1026.0,112.0,2014-09-15,2015-01-30,138.0,2014-09-08
7,1027.0,55.0,2015-02-16,2015-05-29,103.0,2015-02-09
8,1031.0,13.0,2014-11-17,2015-05-29,194.0,2014-11-10
9,1038.0,23.0,2015-01-05,2015-02-06,33.0,2014-12-29
10,1039.0,91.0,2015-03-02,2015-06-26,117.0,2015-02-23
11,1043.0,18.0,2014-09-29,2015-06-26,271.0,2014-09-22
12,1044.0,74.0,2015-01-19,2015-07-03,166.0,2015-01-12
13,1048.0,44.0,2015-01-19,2015-06-12,145.0,2015-01-12
14,1051.0,32.0,2015-01-12,2015-06-05,145.0,2015-01-05
15,1055.0,9.0,2015-01-26,2015-05-22,117.0,2015-01-19
16,1058.0,11.0,2015-02-02,2015-05-15,103.0,2015-01-26
17,1059.0,135.0,2015-01-12,2015-06-05,145.0,2015-01-05
18,1062.0,31.0,2015-01-19,2015-05-29,131.0,2015-01-12
19,1064.0,8.0,2014-09-08,2015-07-10,306.0,2014-09-01
20,1065.0,80.0,2015-01-19,2015-07-03,166.0,2015-01-12
21,1069.0,3.0,2015-02-02,2015-07-03,152.0,2015-01-26
22,1073.0,129.0,2015-01-19,2015-05-15,117.0,2015-01-12
23,1075.0,22.0,2015-02-02,2015-06-12,131.0,2015-01-26
24,1077.0,26.0,2015-02-02,2015-05-29,117.0,2015-01-26
25,1081.0,16.0,2014-10-13,2015-01-16,96.0,2014-10-06
26,1087.0,31.0,2015-01-26,2015-05-22,117.0,2015-01-19
27,1088.0,18.0,2014-09-08,2015-01-09,124.0,2014-09-01
28,1090.0,52.0,2014-11-03,2015-01-30,89.0,2014-10-27
29,1093.0,15.0,2014-09-08,2015-01-09,124.0,2014-09-01
30,1097.0,13.0,2015-02-16,2015-06-19,124.0,2015-02-09
31,1104.0,95.0,2015-01-19,2015-06-26,159.0,2015-01-12
32,1105.0,25.0,2014-09-22,2014-12-19,89.0,2014-09-15
33,1106.0,82.0,2014-09-01,2015-01-16,138.0,2014-08-25
34,1108.0,38.0,2014-09-01,2015-01-16,138.0,2014-08-25
35,1112.0,199.0,2015-01-12,2015-05-29,138.0,2015-01-05
36,1114.0,51.0,2015-01-19,2015-06-12,145.0,2015-01-12
37,1115.0,35.0,2015-02-02,2015-05-29,117.0,2015-01-26
38,1123.0,47.0,2015-01-05,2015-05-15,131.0,2014-12-29
39,1127.0,91.0,2015-04-20,2015-06-26,68.0,2015-04-13
40,1131.0,115.0,2014-12-01,2015-06-12,194.0,2014-11-24
41,1133.0,41.0,2015-01-19,2015-05-29,131.0,2015-01-12
42,1137.0,47.0,2015-02-02,2015-05-22,110.0,2015-01-26
43,1142.0,59.0,2015-01-19,2015-06-26,159.0,2015-01-12
44,1143.0,85.0,2015-01-19,2015-06-05,138.0,2015-01-12
45,1146.0,6.0,2015-03-09,2015-05-22,75.0,2015-03-02
46,1151.0,16.0,2015-01-19,2015-05-15,117.0,2015-01-12
47,1154.0,15.0,2014-09-08,2015-01-23,138.0,2014-09-01
48,1156.0,55.0,2014-09-08,2015-01-23,138.0,2014-09-01
49,1159.0,62.0,2014-09-08,2015-01-02,117.0,2014-09-01
50,1163.0,28.0,2015-01-26,2015-05-08,103.0,2015-01-19
51,1167.0,63.0,2014-09-08,2015-07-03,299.0,2014-09-01
52,1170.0,79.0,2014-09-01,2015-01-09,131.0,2014-08-25
53,1173.0,23.0,2015-01-26,2015-05-22,117.0,2015-01-19
54,1177.0,129.0,2014-09-08,2015-01-16,131.0,2014-09-01
55,1180.0,10.0,2015-01-26,2015-05-29,124.0,2015-01-19
56,1193.0,73.0,2014-10-20,2015-05-15,208.0,2014-10-13
57,1194.0,99.0,2015-01-05,2015-05-15,131.0,2014-12-29
58,1195.0,6.0,2014-09-08,2015-01-09,124.0,2014-09-01
59,1200.0,107.0,2014-09-08,2015-01-30,145.0,2014-09-01
60,1201.0,78.0,2014-09-08,2015-01-30,145.0,2014-09-01
61,1215.0,28.0,2014-09-08,2015-01-23,138.0,2014-09-01
62,1217.0,26.0,2014-10-13,2015-01-09,89.0,2014-10-06
63,1222.0,29.0,2014-09-15,2015-01-23,131.0,2014-09-08
64,1225.0,23.0,2014-09-01,2015-01-23,145.0,2014-08-25
65,1231.0,33.0,2014-09-08,2015-02-06,152.0,2014-09-01
66,1232.0,6.0,2014-09-08,2014-12-26,110.0,2014-09-01
67,1233.0,81.0,2015-02-09,2015-05-15,96.0,2015-02-02
68,1236.0,8.0,2014-09-08,2015-01-16,131.0,2014-09-01
69,1244.0,11.0,2014-09-15,2015-01-16,124.0,2014-09-08
70,1248.0,10.0,2014-09-15,2015-01-16,124.0,2014-09-08
71,1267.0,23.0,2014-09-08,2015-01-30,145.0,2014-09-01
72,1268.0,39.0,2014-09-08,2015-01-30,145.0,2014-09-01
73,1288.0,51.0,2014-09-08,2015-01-30,145.0,2014-09-01
74,1294.0,49.0,2014-09-01,2015-01-02,124.0,2014-08-25
75,1298.0,11.0,2014-09-15,2015-01-16,124.0,2014-09-08
76,1300.0,26.0,2014-09-08,2015-01-23,138.0,2014-09-01
77,1303.0,119.0,2015-02-16,2015-06-05,110.0,2015-02-09
78,1305.0,85.0,2015-03-02,2015-05-29,89.0,2015-02-23
79,1308.0,25.0,2014-09-08,2014-12-12,96.0,2014-09-01
80,1309.0,19.0,2014-09-08,2015-01-23,138.0,2014-09-01
81,1313.0,118.0,2014-09-08,2015-01-16,131.0,2014-09-01
82,1314.0,29.0,2014-09-01,2015-01-23,145.0,2014-08-25
83,1317.0,24.0,2014-09-08,2015-01-16,131.0,2014-09-01
84,1318.0,50.0,2014-10-13,2014-12-19,68.0,2014-10-06
85,1321.0,13.0,2014-09-08,2015-01-23,138.0,2014-09-01
86,1328.0,47.0,2014-09-01,2015-01-30,152.0,2014-08-25
87,1331.0,54.0,2014-09-01,2015-01-16,138.0,2014-08-25
88,1338.0,66.0,2014-09-29,2014-12-19,82.0,2014-09-22
89,1341.0,25.0,2014-09-08,2015-01-09,124.0,2014-09-01
90,1345.0,136.0,2014-09-08,2015-01-23,138.0,2014-09-01
91,1356.0,90.0,2015-04-06,2015-05-29,54.0,2015-03-30
92,1357.0,31.0,2014-09-01,2015-01-23,145.0,2014-08-25
93,1363.0,126.0,2014-09-22,2014-12-19,89.0,2014-09-15
94,1365.0,37.0,2015-01-19,2015-06-19,152.0,2015-01-12
