,course,Users per course,Start Date,End Date,Course duration days,Week before start,Date_threshold_10,Date_threshold_25,Date_threshold_33,Date_threshold_50,Date_threshold_100
2,1010.0,48.0,2014-09-08,2014-12-26,110.0,2014-09-01,2014-09-19,2014-10-10,2014-10-17,2014-11-07,2015-01-02
3,1013.0,71.0,2014-09-22,2015-02-06,138.0,2014-09-15,2014-10-10,2014-10-31,2014-11-07,2014-12-05,2015-02-13
4,1020.0,64.0,2015-01-05,2015-06-05,152.0,2014-12-29,2015-01-23,2015-02-13,2015-02-27,2015-03-27,2015-06-12
5,1024.0,78.0,2015-01-19,2015-07-03,166.0,2015-01-12,2015-02-06,2015-03-06,2015-03-20,2015-04-17,2015-07-10
6,1026.0,112.0,2014-09-15,2015-01-30,138.0,2014-09-08,2014-10-03,2014-10-24,2014-10-31,2014-11-28,2015-02-06
7,1027.0,55.0,2015-02-16,2015-05-29,103.0,2015-02-09,2015-02-27,2015-03-13,2015-03-27,2015-04-10,2015-06-05
10,1039.0,91.0,2015-03-02,2015-06-26,117.0,2015-02-23,2015-03-13,2015-04-03,2015-04-10,2015-05-01,2015-07-03
12,1044.0,74.0,2015-01-19,2015-07-03,166.0,2015-01-12,2015-02-06,2015-03-06,2015-03-20,2015-04-17,2015-07-10
13,1048.0,44.0,2015-01-19,2015-06-12,145.0,2015-01-12,2015-02-06,2015-02-27,2015-03-13,2015-04-03,2015-06-19
14,1051.0,32.0,2015-01-12,2015-06-05,145.0,2015-01-05,2015-01-30,2015-02-20,2015-03-06,2015-03-27,2015-06-12
17,1059.0,135.0,2015-01-12,2015-06-05,145.0,2015-01-05,2015-01-30,2015-02-20,2015-03-06,2015-03-27,2015-06-12
18,1062.0,31.0,2015-01-19,2015-05-29,131.0,2015-01-12,2015-02-06,2015-02-20,2015-03-06,2015-03-27,2015-06-05
20,1065.0,80.0,2015-01-19,2015-07-03,166.0,2015-01-12,2015-02-06,2015-03-06,2015-03-20,2015-04-17,2015-07-10
22,1073.0,129.0,2015-01-19,2015-05-15,117.0,2015-01-12,2015-01-30,2015-02-20,2015-02-27,2015-03-20,2015-05-22
24,1077.0,26.0,2015-02-02,2015-05-29,117.0,2015-01-26,2015-02-13,2015-03-06,2015-03-13,2015-04-03,2015-06-05
26,1087.0,31.0,2015-01-26,2015-05-22,117.0,2015-01-19,2015-02-06,2015-02-27,2015-03-06,2015-03-27,2015-05-29
28,1090.0,52.0,2014-11-03,2015-01-30,89.0,2014-10-27,2014-11-14,2014-11-28,2014-12-05,2014-12-19,2015-02-06
31,1104.0,95.0,2015-01-19,2015-06-26,159.0,2015-01-12,2015-02-06,2015-02-27,2015-03-13,2015-04-10,2015-07-03
32,1105.0,25.0,2014-09-22,2014-12-19,89.0,2014-09-15,2014-10-03,2014-10-17,2014-10-24,2014-11-07,2014-12-26
33,1106.0,82.0,2014-09-01,2015-01-16,138.0,2014-08-25,2014-09-19,2014-10-10,2014-10-17,2014-11-14,2015-01-23
34,1108.0,38.0,2014-09-01,2015-01-16,138.0,2014-08-25,2014-09-19,2014-10-10,2014-10-17,2014-11-14,2015-01-23
35,1112.0,199.0,2015-01-12,2015-05-29,138.0,2015-01-05,2015-01-30,2015-02-20,2015-02-27,2015-03-27,2015-06-05
36,1114.0,51.0,2015-01-19,2015-06-12,145.0,2015-01-12,2015-02-06,2015-02-27,2015-03-13,2015-04-03,2015-06-19
37,1115.0,35.0,2015-02-02,2015-05-29,117.0,2015-01-26,2015-02-13,2015-03-06,2015-03-13,2015-04-03,2015-06-05
38,1123.0,47.0,2015-01-05,2015-05-15,131.0,2014-12-29,2015-01-23,2015-02-06,2015-02-20,2015-03-13,2015-05-22
39,1127.0,91.0,2015-04-20,2015-06-26,68.0,2015-04-13,2015-05-01,2015-05-08,2015-05-15,2015-05-29,2015-07-03
40,1131.0,115.0,2014-12-01,2015-06-12,194.0,2014-11-24,2014-12-26,2015-01-23,2015-02-06,2015-03-13,2015-06-19
41,1133.0,41.0,2015-01-19,2015-05-29,131.0,2015-01-12,2015-02-06,2015-02-20,2015-03-06,2015-03-27,2015-06-05
42,1137.0,47.0,2015-02-02,2015-05-22,110.0,2015-01-26,2015-02-13,2015-03-06,2015-03-13,2015-04-03,2015-05-29
43,1142.0,59.0,2015-01-19,2015-06-26,159.0,2015-01-12,2015-02-06,2015-02-27,2015-03-13,2015-04-10,2015-07-03
44,1143.0,85.0,2015-01-19,2015-06-05,138.0,2015-01-12,2015-02-06,2015-02-27,2015-03-06,2015-04-03,2015-06-12
48,1156.0,55.0,2014-09-08,2015-01-23,138.0,2014-09-01,2014-09-26,2014-10-17,2014-10-24,2014-11-21,2015-01-30
49,1159.0,62.0,2014-09-08,2015-01-02,117.0,2014-09-01,2014-09-19,2014-10-10,2014-10-17,2014-11-07,2015-01-09
50,1163.0,28.0,2015-01-26,2015-05-08,103.0,2015-01-19,2015-02-06,2015-02-20,2015-03-06,2015-03-20,2015-05-15
51,1167.0,63.0,2014-09-08,2015-07-03,299.0,2014-09-01,2014-10-10,2014-11-21,2014-12-19,2015-02-06,2015-07-10
52,1170.0,79.0,2014-09-01,2015-01-09,131.0,2014-08-25,2014-09-19,2014-10-03,2014-10-17,2014-11-07,2015-01-16
54,1177.0,129.0,2014-09-08,2015-01-16,131.0,2014-09-01,2014-09-26,2014-10-10,2014-10-24,2014-11-14,2015-01-23
56,1193.0,73.0,2014-10-20,2015-05-15,208.0,2014-10-13,2014-11-14,2014-12-12,2015-01-02,2015-02-06,2015-05-22
57,1194.0,99.0,2015-01-05,2015-05-15,131.0,2014-12-29,2015-01-23,2015-02-06,2015-02-20,2015-03-13,2015-05-22
59,1200.0,107.0,2014-09-08,2015-01-30,145.0,2014-09-01,2014-09-26,2014-10-17,2014-10-31,2014-11-21,2015-02-06
60,1201.0,78.0,2014-09-08,2015-01-30,145.0,2014-09-01,2014-09-26,2014-10-17,2014-10-31,2014-11-21,2015-02-06
61,1215.0,28.0,2014-09-08,2015-01-23,138.0,2014-09-01,2014-09-26,2014-10-17,2014-10-24,2014-11-21,2015-01-30
62,1217.0,26.0,2014-10-13,2015-01-09,89.0,2014-10-06,2014-10-24,2014-11-07,2014-11-14,2014-11-28,2015-01-16
63,1222.0,29.0,2014-09-15,2015-01-23,131.0,2014-09-08,2014-10-03,2014-10-17,2014-10-31,2014-11-21,2015-01-30
65,1231.0,33.0,2014-09-08,2015-02-06,152.0,2014-09-01,2014-09-26,2014-10-17,2014-10-31,2014-11-28,2015-02-13
67,1233.0,81.0,2015-02-09,2015-05-15,96.0,2015-02-02,2015-02-20,2015-03-06,2015-03-13,2015-04-03,2015-05-22
72,1268.0,39.0,2014-09-08,2015-01-30,145.0,2014-09-01,2014-09-26,2014-10-17,2014-10-31,2014-11-21,2015-02-06
73,1288.0,51.0,2014-09-08,2015-01-30,145.0,2014-09-01,2014-09-26,2014-10-17,2014-10-31,2014-11-21,2015-02-06
74,1294.0,49.0,2014-09-01,2015-01-02,124.0,2014-08-25,2014-09-19,2014-10-03,2014-10-17,2014-11-07,2015-01-09
76,1300.0,26.0,2014-09-08,2015-01-23,138.0,2014-09-01,2014-09-26,2014-10-17,2014-10-24,2014-11-21,2015-01-30
77,1303.0,119.0,2015-02-16,2015-06-05,110.0,2015-02-09,2015-02-27,2015-03-20,2015-03-27,2015-04-17,2015-06-12
78,1305.0,85.0,2015-03-02,2015-05-29,89.0,2015-02-23,2015-03-13,2015-03-27,2015-04-03,2015-04-17,2015-06-05
79,1308.0,25.0,2014-09-08,2014-12-12,96.0,2014-09-01,2014-09-19,2014-10-03,2014-10-10,2014-10-31,2014-12-19
81,1313.0,118.0,2014-09-08,2015-01-16,131.0,2014-09-01,2014-09-26,2014-10-10,2014-10-24,2014-11-14,2015-01-23
82,1314.0,29.0,2014-09-01,2015-01-23,145.0,2014-08-25,2014-09-19,2014-10-10,2014-10-24,2014-11-14,2015-01-30
84,1318.0,50.0,2014-10-13,2014-12-19,68.0,2014-10-06,2014-10-24,2014-10-31,2014-11-07,2014-11-21,2014-12-26
86,1328.0,47.0,2014-09-01,2015-01-30,152.0,2014-08-25,2014-09-19,2014-10-10,2014-10-24,2014-11-21,2015-02-06
87,1331.0,54.0,2014-09-01,2015-01-16,138.0,2014-08-25,2014-09-19,2014-10-10,2014-10-17,2014-11-14,2015-01-23
88,1338.0,66.0,2014-09-29,2014-12-19,82.0,2014-09-22,2014-10-10,2014-10-24,2014-10-31,2014-11-14,2014-12-26
89,1341.0,25.0,2014-09-08,2015-01-09,124.0,2014-09-01,2014-09-26,2014-10-10,2014-10-24,2014-11-14,2015-01-16
90,1345.0,136.0,2014-09-08,2015-01-23,138.0,2014-09-01,2014-09-26,2014-10-17,2014-10-24,2014-11-21,2015-01-30
