,index,course
0,0,1.0
1,162,4.0
2,171,3.0
3,176,5.0
4,182,8.0
5,183,7.0
6,184,6.0
7,186,10.0
8,187,9.0
9,191,14.0
10,192,11.0
11,193,17.0
12,194,16.0
13,195,13.0
14,196,12.0
15,197,15.0
16,199,19.0
17,200,21.0
18,201,20.0
19,202,18.0
20,204,25.0
21,205,27.0
22,206,24.0
23,207,23.0
24,208,26.0
25,209,22.0
26,210,28.0
27,211,29.0
28,212,35.0
29,213,30.0
30,214,36.0
31,215,37.0
32,219,31.0
33,221,33.0
34,222,34.0
35,223,32.0
36,224,45.0
37,225,38.0
38,226,41.0
39,227,40.0
40,228,43.0
41,229,42.0
42,230,46.0
43,231,39.0
44,232,44.0
45,234,52.0
46,235,51.0
47,236,53.0
48,237,49.0
49,238,55.0
50,239,50.0
51,240,48.0
52,241,54.0
53,250,64.0
54,251,62.0
55,252,61.0
56,253,63.0
57,254,58.0
58,255,59.0
59,256,57.0
60,257,65.0
61,258,60.0
62,262,66.0
63,263,71.0
64,264,67.0
65,265,69.0
66,266,68.0
67,267,73.0
68,268,72.0
69,269,75.0
70,270,74.0
71,271,70.0
72,273,80.0
73,274,81.0
74,275,77.0
75,276,83.0
76,277,82.0
77,278,78.0
78,279,86.0
79,280,85.0
80,281,76.0
81,282,84.0
82,286,91.0
83,287,87.0
84,288,94.0
85,289,90.0
86,290,97.0
87,291,96.0
88,292,93.0
89,293,102.0
90,294,88.0
91,295,92.0
92,296,103.0
93,297,89.0
94,298,99.0
95,299,98.0
96,300,101.0
97,301,100.0
98,302,95.0
99,304,107.0
100,305,111.0
101,306,115.0
102,307,106.0
103,308,108.0
104,309,119.0
105,310,104.0
106,311,117.0
107,312,116.0
108,313,112.0
109,314,120.0
110,315,110.0
111,316,109.0
112,317,113.0
113,318,114.0
114,319,105.0
115,320,118.0
116,329,126.0
117,330,132.0
118,331,131.0
119,332,130.0
120,333,135.0
121,334,122.0
122,335,121.0
123,336,128.0
124,337,127.0
125,338,129.0
126,339,133.0
127,340,125.0
128,341,134.0
129,342,136.0
130,343,123.0
131,344,124.0
132,348,150.0
133,349,149.0
134,350,141.0
135,351,137.0
136,352,144.0
137,353,147.0
138,354,146.0
139,355,145.0
140,356,140.0
141,357,139.0
142,358,138.0
143,359,142.0
144,360,143.0
145,361,148.0
146,362,151.0
147,363,156.0
148,364,164.0
149,365,165.0
150,366,155.0
151,367,168.0
152,368,167.0
153,369,163.0
154,370,152.0
155,371,157.0
156,372,153.0
157,373,162.0
158,374,170.0
159,375,159.0
160,376,161.0
161,377,166.0
162,378,169.0
163,379,158.0
164,380,154.0
165,381,160.0
166,384,183.0
167,385,175.0
168,386,171.0
169,387,173.0
170,388,174.0
171,389,177.0
172,390,188.0
173,391,182.0
174,392,185.0
175,393,176.0
176,394,178.0
177,395,189.0
178,396,179.0
179,397,181.0
180,398,191.0
181,399,180.0
182,400,186.0
183,401,190.0
184,402,184.0
185,403,187.0
186,406,195.0
187,407,204.0
188,408,214.0
189,409,203.0
190,410,198.0
191,411,208.0
192,412,200.0
193,413,201.0
194,414,197.0
195,415,202.0
196,416,209.0
197,417,207.0
198,418,192.0
199,419,211.0
200,420,210.0
201,421,206.0
202,422,217.0
203,423,194.0
204,424,212.0
205,425,216.0
206,426,199.0
207,427,193.0
208,428,205.0
209,429,215.0
210,430,196.0
211,431,213.0
212,433,239.0
213,434,233.0
214,435,238.0
215,436,235.0
216,437,231.0
217,438,237.0
218,439,232.0
219,440,220.0
220,441,228.0
221,442,229.0
222,443,234.0
223,444,225.0
224,445,242.0
225,446,227.0
226,447,241.0
227,448,222.0
228,449,236.0
229,450,224.0
230,451,240.0
231,452,223.0
232,453,230.0
233,454,243.0
234,455,221.0
235,456,226.0
236,457,218.0
237,458,219.0
238,462,255.0
239,463,247.0
240,464,248.0
241,465,249.0
242,466,245.0
243,467,244.0
244,468,261.0
245,469,252.0
246,470,259.0
247,471,256.0
248,472,250.0
249,473,246.0
250,474,258.0
251,475,260.0
252,476,262.0
253,477,257.0
254,478,264.0
255,479,263.0
256,480,254.0
257,481,251.0
258,482,253.0
259,485,283.0
260,486,285.0
261,487,271.0
262,488,279.0
263,489,275.0
264,490,276.0
265,491,290.0
266,492,280.0
267,493,270.0
268,494,267.0
269,495,286.0
270,496,266.0
271,497,274.0
272,498,265.0
273,499,282.0
274,500,281.0
275,501,269.0
276,502,291.0
277,503,273.0
278,504,287.0
279,505,284.0
280,506,288.0
281,507,278.0
282,508,272.0
283,509,289.0
284,510,268.0
285,511,277.0
286,515,295.0
287,516,297.0
288,517,310.0
289,518,312.0
290,519,306.0
291,520,315.0
292,521,314.0
293,522,293.0
294,523,309.0
295,524,302.0
296,525,294.0
297,526,299.0
298,527,320.0
299,528,324.0
300,529,317.0
301,530,335.0
302,531,322.0
303,532,316.0
304,533,330.0
305,534,321.0
306,535,323.0
307,536,318.0
308,537,325.0
309,538,319.0
310,546,339.0
311,547,347.0
312,548,343.0
313,550,361.0
314,551,351.0
315,552,357.0
316,553,354.0
317,554,344.0
318,555,355.0
319,556,358.0
320,557,360.0
321,562,398.0
322,563,387.0
323,564,384.0
324,565,372.0
325,566,389.0
326,567,391.0
327,568,396.0
328,569,376.0
329,570,377.0
330,571,401.0
331,572,367.0
332,573,395.0
333,574,392.0
334,575,368.0
335,576,369.0
336,577,413.0
337,578,415.0
338,579,427.0
339,580,409.0
340,581,405.0
341,582,431.0
342,583,430.0
343,584,406.0
344,585,418.0
345,586,423.0
346,587,408.0
347,588,419.0
348,589,420.0
349,590,416.0
350,591,417.0
351,592,432.0
352,593,466.0
353,594,449.0
354,595,450.0
355,596,454.0
356,597,441.0
357,598,455.0
358,599,456.0
359,600,437.0
360,601,462.0
361,602,444.0
362,603,464.0
363,604,459.0
364,605,442.0
365,606,465.0
366,607,443.0
367,608,435.0
368,609,461.0
369,610,440.0
370,611,445.0
371,612,451.0
372,613,448.0
373,614,447.0
374,618,473.0
375,619,469.0
376,620,483.0
377,621,489.0
378,622,481.0
379,623,498.0
380,624,497.0
381,625,485.0
382,626,502.0
383,627,471.0
384,628,501.0
385,629,500.0
386,630,495.0
387,631,503.0
388,632,496.0
389,633,472.0
390,634,499.0
391,635,493.0
392,636,480.0
393,637,475.0
394,638,476.0
395,639,479.0
396,640,478.0
397,641,474.0
398,643,484.0
399,644,487.0
400,645,477.0
401,646,492.0
402,649,519.0
403,650,531.0
404,651,526.0
405,652,544.0
406,653,517.0
407,654,534.0
408,655,523.0
409,656,515.0
410,657,548.0
411,658,527.0
412,659,535.0
413,660,542.0
414,661,522.0
415,662,516.0
416,663,508.0
417,664,514.0
418,665,550.0
419,673,593.0
420,675,590.0
421,676,582.0
422,677,595.0
423,678,569.0
424,679,554.0
425,680,584.0
426,681,580.0
427,682,560.0
428,683,587.0
429,684,583.0
430,685,594.0
431,686,567.0
432,687,566.0
433,688,578.0
434,689,551.0
435,695,618.0
436,696,602.0
437,697,616.0
438,698,613.0
439,699,641.0
440,700,638.0
441,701,623.0
442,702,646.0
443,703,612.0
444,704,636.0
445,705,611.0
446,706,620.0
447,710,669.0
448,711,657.0
449,712,674.0
450,713,671.0
451,714,649.0
452,715,675.0
453,716,685.0
454,717,670.0
455,718,663.0
456,719,684.0
457,720,659.0
458,721,666.0
459,726,698.0
460,727,719.0
461,728,735.0
462,729,728.0
463,730,738.0
464,731,725.0
465,732,707.0
466,733,712.0
467,734,708.0
468,735,715.0
469,736,701.0
470,737,714.0
471,738,706.0
472,739,689.0
473,740,726.0
474,741,737.0
475,745,739.0
476,746,788.0
477,747,751.0
478,748,786.0
479,749,761.0
480,750,778.0
481,751,753.0
482,752,742.0
483,753,774.0
484,754,767.0
485,755,771.0
486,756,740.0
487,766,888.0
488,767,882.0
489,768,856.0
490,769,873.0
491,770,897.0
492,771,898.0
493,772,892.0
494,773,886.0
495,774,857.0
496,775,896.0
497,776,879.0
498,777,870.0
499,794,1000.0
500,802,977.0
501,815,1462.0
502,817,1511.0
503,818,1527.0
504,819,1529.0
505,820,1503.0
506,821,1582.0
507,822,1516.0
508,826,1684.0
509,827,1669.0
510,828,1762.0
511,829,1616.0
512,830,1693.0
513,831,1707.0
514,832,1666.0
515,833,1756.0
516,834,1743.0
517,835,1782.0
518,836,1740.0
519,837,1678.0
520,838,1752.0
521,839,1764.0
522,840,1751.0
523,841,1741.0
524,842,1726.0
525,843,1680.0
526,844,1694.0
527,856,1812.0
528,857,1837.0
529,858,1834.0
530,859,1798.0
531,860,1825.0
532,861,1802.0
533,862,1811.0
534,863,1816.0
535,864,1832.0
536,865,1838.0
537,866,1800.0
538,867,1805.0
539,868,1846.0
540,869,1828.0
541,870,1814.0
542,874,1868.0
543,875,1850.0
544,876,1882.0
545,877,1878.0
546,878,1861.0
547,879,1857.0
548,880,1872.0
549,881,1879.0
550,882,1903.0
551,883,1863.0
552,884,1881.0
553,885,1869.0
554,886,1866.0
555,887,1894.0
556,891,1915.0
557,892,1907.0
558,893,1933.0
559,894,1913.0
560,895,1928.0
561,896,1908.0
562,897,1924.0
563,898,1922.0
564,899,1909.0
565,900,1951.0
566,901,1934.0
567,902,1938.0
568,903,1911.0
569,904,1939.0
570,905,1923.0
571,910,1997.0
572,911,1987.0
573,912,1998.0
574,913,1982.0
575,914,1993.0
576,915,1969.0
577,916,1996.0
578,917,1974.0
579,918,2004.0
580,919,2005.0
581,920,2019.0
582,921,1980.0
583,922,1988.0
584,923,1972.0
585,927,2069.0
586,928,2296.0
587,929,2228.0
588,930,2390.0
589,931,2130.0
