,id,category,sortorder,fullname,shortname,idnumber,summary,summaryformat,format,showgrades,newsitems,startdate,marker,maxbytes,legacyfiles,showreports,visible,visibleold,groupmode,groupmodeforce,defaultgroupingid,lang,calendartype,theme,timecreated,timemodified,requested,enablecompletion,completionnotify,cacherev
0,1.0,0.0,1.0,nombre,Uniovi Virtual,,-,0.0,site,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,,,1401988092.0,1408972380.0,0.0,0.0,0.0,1433333461.0
1,3.0,1.0,13589.0,nombre,"T_1C,A_15473","T_1C,A_15473",-,1.0,topics,1.0,1.0,943916400.0,0.0,41943040.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,1307370756.0,1315830312.0,0.0,0.0,0.0,1425313993.0
2,4.0,1.0,13588.0,nombre,"T_1C,A_15470","T_1C,A_15470",-,1.0,topics,1.0,1.0,1349215200.0,0.0,41943040.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,1317028305.0,1349228730.0,0.0,0.0,0.0,1425313993.0
3,5.0,1.0,13587.0,nombre,"T_1C,A_15181","T_1C,A_15181",-,1.0,topics,1.0,1.0,1390345200.0,8.0,41943040.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,1307370771.0,1390416178.0,0.0,0.0,0.0,1425313993.0
4,6.0,61.0,310007.0,nombre,"T_S,A_MGENYDIV-1-022","T_S,A_MGENYDIV-1-022",-,1.0,topics,1.0,1.0,1422745200.0,0.0,41943040.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,,,,1308566945.0,1422826320.0,0.0,0.0,0.0,1425313993.0
5,7.0,61.0,310006.0,nombre,"T_S,A_MGENYDIV-1-008","T_S,A_MGENYDIV-1-008",-,1.0,topics,1.0,1.0,1412719200.0,0.0,41943040.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,,,,1315935181.0,1412794666.0,0.0,0.0,0.0,1428340781.0
6,8.0,61.0,310005.0,nombre,"T_S,A_MGENYDIV-1-012","T_S,A_MGENYDIV-1-012",-,0.0,topics,0.0,5.0,1423004400.0,0.0,41943040.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1347461856.0,1423048381.0,0.0,0.0,0.0,1425313993.0
7,9.0,71.0,770326.0,nombre,"T_S,A_IFTERA01-1-002","T_S,A_IFTERA01-1-002",-,1.0,topics,1.0,1.0,943916400.0,0.0,41943040.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,1308300279.0,1308300279.0,0.0,0.0,0.0,1425313993.0
8,10.0,71.0,770325.0,nombre,"T_S,A_IFTERA01-1-001","T_S,A_IFTERA01-1-001",-,1.0,topics,1.0,1.0,1359586800.0,0.0,41943040.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,1308300241.0,1359631257.0,0.0,0.0,0.0,1425313993.0
9,11.0,71.0,770324.0,nombre,"T_S,A_ILOGOP01-1-007","T_S,A_ILOGOP01-1-007",-,1.0,topics,1.0,1.0,1390777200.0,0.0,41943040.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,1318843214.0,1390844273.0,0.0,0.0,0.0,1425313993.0
10,12.0,71.0,770323.0,nombre,"T_S,A_ILOGOP01-1-006","T_S,A_ILOGOP01-1-006",-,1.0,topics,1.0,1.0,1360191600.0,4.0,41943040.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,1318843220.0,1360268468.0,0.0,0.0,0.0,1425313993.0
11,13.0,71.0,770322.0,nombre,"T_S,A_ILOGOP01-1-003","T_S,A_ILOGOP01-1-003",-,1.0,topics,1.0,1.0,1351551600.0,0.0,41943040.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,1318843222.0,1351590492.0,0.0,0.0,0.0,1425313993.0
12,14.0,71.0,770321.0,nombre,"T_S,A_ILOGOP01-1-004","T_S,A_ILOGOP01-1-004",-,1.0,topics,1.0,1.0,1361142000.0,0.0,41943040.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,1318843212.0,1361196198.0,0.0,0.0,0.0,1425313993.0
13,15.0,71.0,770320.0,nombre,"T_S,A_ILOGOP01-1-001","T_S,A_ILOGOP01-1-001",-,1.0,topics,1.0,1.0,1349128800.0,0.0,41943040.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,1318843218.0,1349166591.0,0.0,0.0,0.0,1425313993.0
14,16.0,71.0,770319.0,nombre,"T_S,A_ILOGOP01-1-005","T_S,A_ILOGOP01-1-005",-,1.0,topics,1.0,1.0,1362265200.0,0.0,41943040.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,1318843224.0,1362344378.0,0.0,0.0,0.0,1432074900.0
15,17.0,71.0,770318.0,nombre,"T_S,A_ILOGOP01-1-002","T_S,A_ILOGOP01-1-002",-,1.0,topics,1.0,1.0,1353625200.0,0.0,41943040.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,1318843217.0,1353668835.0,0.0,0.0,0.0,1425313993.0
16,18.0,15.0,390026.0,nombre,"T_S,A_(EMMECATR-1-029,MMECAT02-1-026)","T_S,A_(EMMECATR-1-029,MMECAT02-1-026)",-,1.0,topics,1.0,2.0,1409781600.0,0.0,41943040.0,2.0,0.0,1.0,1.0,2.0,0.0,0.0,,,,1308212986.0,1409817018.0,0.0,0.0,0.0,1425313993.0
17,19.0,96.0,270042.0,nombre,"T_S,A_(EMSTEP01-2-009,MCEESP01-2-016)","T_S,A_(EMSTEP01-2-009,MCEESP01-2-016)",-,1.0,topics,1.0,5.0,1412805600.0,0.0,41943040.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,en,,,1342423040.0,1412857604.0,0.0,0.0,0.0,1436559894.0
18,20.0,15.0,390025.0,nombre,"T_S,A_(EMMECATR-2-009,EMMECATR-1-004)","T_S,A_(EMMECATR-2-009,EMMECATR-1-004)",-,1.0,topics,1.0,1.0,943916400.0,0.0,41943040.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,1308212197.0,1311063780.0,0.0,0.0,0.0,1425313993.0
19,21.0,96.0,270041.0,nombre,"T_S,A_(EMSTEP01-2-018,MCEESP01-2-013)","T_S,A_(EMSTEP01-2-018,MCEESP01-2-013)",-,1.0,topics,1.0,5.0,1410300000.0,0.0,41943040.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,en,,,1342423474.0,1410342475.0,0.0,0.0,0.0,1425313993.0
20,22.0,1.0,13586.0,nombre,"T_1C,A_1926","T_1C,A_1926",-,0.0,topics,1.0,5.0,0.0,0.0,41943040.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,1374137250.0,1374137250.0,0.0,0.0,0.0,1425313993.0
21,23.0,1.0,13585.0,nombre,"T_1C,A_1930","T_1C,A_1930",-,1.0,topics,1.0,1.0,943916400.0,0.0,41943040.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,1307373179.0,1307373179.0,0.0,0.0,0.0,1425313993.0
22,24.0,1.0,13584.0,nombre,"T_1C,A_1984","T_1C,A_1984",-,1.0,topics,1.0,1.0,943916400.0,0.0,41943040.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,1307373096.0,1307373096.0,0.0,0.0,0.0,1425313993.0
23,25.0,1.0,13583.0,nombre,"T_1C,A_1938","T_1C,A_1938",-,0.0,topics,1.0,5.0,0.0,0.0,41943040.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,1374137251.0,1374137251.0,0.0,0.0,0.0,1425313993.0
24,26.0,1.0,13582.0,nombre,"T_1C,A_1943","T_1C,A_1943",-,0.0,topics,1.0,5.0,0.0,0.0,41943040.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,1379948795.0,1379948795.0,0.0,0.0,0.0,1425313993.0
25,27.0,1.0,13581.0,nombre,"T_1C,A_1953","T_1C,A_1953",-,1.0,topics,1.0,1.0,943916400.0,0.0,41943040.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,1307373187.0,1307373187.0,0.0,0.0,0.0,1425313993.0
26,28.0,1.0,13580.0,nombre,"T_1C,A_1909","T_1C,A_1909",-,0.0,topics,1.0,5.0,0.0,0.0,41943040.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,1374137190.0,1374137190.0,0.0,0.0,0.0,1425313993.0
27,29.0,1.0,13579.0,nombre,"T_1C,A_1985","T_1C,A_1985",-,1.0,topics,1.0,1.0,943916400.0,0.0,41943040.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,1316598723.0,1317206040.0,0.0,0.0,0.0,1425313993.0
28,30.0,13.0,200009.0,nombre,"T_S,A_MDIRTU02-0-008","T_S,A_MDIRTU02-0-008",-,1.0,topics,1.0,1.0,1421708400.0,0.0,41943040.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,,,,1308553686.0,1421771790.0,0.0,0.0,0.0,1428593241.0
29,31.0,13.0,200008.0,nombre,"T_S,A_MDIRTU02-0-003","T_S,A_MDIRTU02-0-003",-,1.0,topics,1.0,1.0,1411596000.0,0.0,41943040.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,,,,1316678791.0,1411658101.0,0.0,0.0,0.0,1425313993.0
30,32.0,13.0,200007.0,nombre,"T_S,A_MDIRTU02-0-005","T_S,A_MDIRTU02-0-005",-,1.0,topics,1.0,1.0,1411336800.0,0.0,41943040.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,,,,1315296606.0,1411385393.0,0.0,0.0,0.0,1425313993.0
